MAX VERSTAPPEN
lANDO NORRIS
OSCAR PIASTRI
YUKI TSUNODA
GEORGE RUSSEL
KIMI ANTONELLI
CHARLES LECLERC
LEWIS HAMILTON
ALEXANDER ALBON
CARLOS SAINZ
FERNANDO ALONSO
LANCE STROLL
LIAM LAWSON
ISACK HADJAR
ESTEBAN OCON
OLIVER BEARMAN
NICO HULKENBERG
GABRIEL BORTOLETO
PIERRE GASLY
FRANCO COLAPINTO
